iteration,prefix,benchmark,label,ops,elapsed_s,tps
1,master_s20_i1,bench_memtx,INSERT,1000000,11.339,88192
1,master_s20_i1,bench_memtx,SELECT_POINT,1000000,0.430,2325327
1,master_s20_i1,bench_memtx,SELECT_RANGE,1000000,3.357,297860
1,master_s20_i1,bench_memtx,DELETE,1000000,12.068,82865
1,master_s20_i1,bench_vinyl,INSERT,400000,6.322,63267
1,master_s20_i1,bench_vinyl,SELECT_POINT,400000,5.186,77135
1,master_s20_i1,bench_vinyl,SELECT_RANGE,400000,3.172,126102
1,master_s20_i1,bench_vinyl,DELETE,400000,3.970,100761
1,master_s20_i1,bench_sort_order,plain      INSERT,600000,6.878,87236
1,master_s20_i1,bench_sort_order,plain      SELECT_RANGE,600000,2.037,294585
1,master_s20_i1,bench_sort_order,plain      SELECT_RANGE_REV,600000,2.359,254390
1,master_s20_i1,bench_sort_order,plain      DELETE,600000,6.372,94168
1,master_s20_i1,bench_sort_order,all_desc   INSERT,600000,6.391,93876
1,master_s20_i1,bench_sort_order,all_desc   SELECT_RANGE,600000,2.039,294196
1,master_s20_i1,bench_sort_order,all_desc   SELECT_RANGE_REV,600000,2.388,251305
1,master_s20_i1,bench_sort_order,all_desc   DELETE,600000,6.902,86937
1,master_s20_i1,bench_sort_order,mixed      INSERT,600000,7.474,80280
1,master_s20_i1,bench_sort_order,mixed      SELECT_RANGE,600000,2.031,295434
1,master_s20_i1,bench_sort_order,mixed      SELECT_RANGE_REV,600000,2.381,251954
1,master_s20_i1,bench_sort_order,mixed      DELETE,600000,7.435,80696
2,master_s20_i2,bench_memtx,INSERT,1000000,11.212,89191
2,master_s20_i2,bench_memtx,SELECT_POINT,1000000,0.425,2355037
2,master_s20_i2,bench_memtx,SELECT_RANGE,1000000,3.485,286956
2,master_s20_i2,bench_memtx,DELETE,1000000,10.112,98896
2,master_s20_i2,bench_vinyl,INSERT,400000,6.135,65197
2,master_s20_i2,bench_vinyl,SELECT_POINT,400000,6.379,62701
2,master_s20_i2,bench_vinyl,SELECT_RANGE,400000,3.146,127137
2,master_s20_i2,bench_vinyl,DELETE,400000,5.024,79620
2,master_s20_i2,bench_sort_order,plain      INSERT,600000,7.426,80800
2,master_s20_i2,bench_sort_order,plain      SELECT_RANGE,600000,2.016,297673
2,master_s20_i2,bench_sort_order,plain      SELECT_RANGE_REV,600000,1.958,306426
2,master_s20_i2,bench_sort_order,plain      DELETE,600000,6.983,85921
2,master_s20_i2,bench_sort_order,all_desc   INSERT,600000,6.238,96183
2,master_s20_i2,bench_sort_order,all_desc   SELECT_RANGE,600000,2.024,296449
2,master_s20_i2,bench_sort_order,all_desc   SELECT_RANGE_REV,600000,1.978,303315
2,master_s20_i2,bench_sort_order,all_desc   DELETE,600000,6.309,95099
2,master_s20_i2,bench_sort_order,mixed      INSERT,600000,6.492,92423
2,master_s20_i2,bench_sort_order,mixed      SELECT_RANGE,600000,2.086,287651
2,master_s20_i2,bench_sort_order,mixed      SELECT_RANGE_REV,600000,1.985,302299
2,master_s20_i2,bench_sort_order,mixed      DELETE,600000,6.995,85774
3,master_s20_i3,bench_memtx,INSERT,1000000,11.102,90077
3,master_s20_i3,bench_memtx,SELECT_POINT,1000000,0.416,2403567
3,master_s20_i3,bench_memtx,SELECT_RANGE,1000000,3.495,286140
3,master_s20_i3,bench_memtx,DELETE,1000000,12.031,83115
3,master_s20_i3,bench_vinyl,INSERT,400000,5.579,71695
3,master_s20_i3,bench_vinyl,SELECT_POINT,400000,6.655,60108
3,master_s20_i3,bench_vinyl,SELECT_RANGE,400000,3.129,127833
3,master_s20_i3,bench_vinyl,DELETE,400000,5.688,70317
3,master_s20_i3,bench_sort_order,plain      INSERT,600000,7.275,82473
3,master_s20_i3,bench_sort_order,plain      SELECT_RANGE,600000,2.020,296967
3,master_s20_i3,bench_sort_order,plain      SELECT_RANGE_REV,600000,2.143,280042
3,master_s20_i3,bench_sort_order,plain      DELETE,600000,6.303,95185
3,master_s20_i3,bench_sort_order,all_desc   INSERT,600000,7.132,84124
3,master_s20_i3,bench_sort_order,all_desc   SELECT_RANGE,600000,2.014,297860
3,master_s20_i3,bench_sort_order,all_desc   SELECT_RANGE_REV,600000,2.141,280197
3,master_s20_i3,bench_sort_order,all_desc   DELETE,600000,6.996,85768
3,master_s20_i3,bench_sort_order,mixed      INSERT,600000,7.134,84099
3,master_s20_i3,bench_sort_order,mixed      SELECT_RANGE,600000,2.004,299387
3,master_s20_i3,bench_sort_order,mixed      SELECT_RANGE_REV,600000,2.175,275820
3,master_s20_i3,bench_sort_order,mixed      DELETE,600000,6.413,93558
4,master_s20_i4,bench_memtx,INSERT,1000000,12.599,79368
4,master_s20_i4,bench_memtx,SELECT_POINT,1000000,0.375,2668698
4,master_s20_i4,bench_memtx,SELECT_RANGE,1000000,3.464,288678
4,master_s20_i4,bench_memtx,DELETE,1000000,12.084,82756
4,master_s20_i4,bench_vinyl,INSERT,400000,5.218,76655
4,master_s20_i4,bench_vinyl,SELECT_POINT,400000,6.894,58018
4,master_s20_i4,bench_vinyl,SELECT_RANGE,400000,3.219,124250
4,master_s20_i4,bench_vinyl,DELETE,400000,5.294,75562
4,master_s20_i4,bench_sort_order,plain      INSERT,600000,6.286,95452
4,master_s20_i4,bench_sort_order,plain      SELECT_RANGE,600000,2.020,296966
4,master_s20_i4,bench_sort_order,plain      SELECT_RANGE_REV,600000,2.118,283255
4,master_s20_i4,bench_sort_order,plain      DELETE,600000,6.597,90947
4,master_s20_i4,bench_sort_order,all_desc   INSERT,600000,7.076,84788
4,master_s20_i4,bench_sort_order,all_desc   SELECT_RANGE,600000,1.983,302541
4,master_s20_i4,bench_sort_order,all_desc   SELECT_RANGE_REV,600000,2.187,274299
4,master_s20_i4,bench_sort_order,all_desc   DELETE,600000,7.689,78030
4,master_s20_i4,bench_sort_order,mixed      INSERT,600000,7.044,85182
4,master_s20_i4,bench_sort_order,mixed      SELECT_RANGE,600000,2.018,297325
4,master_s20_i4,bench_sort_order,mixed      SELECT_RANGE_REV,600000,2.178,275518
4,master_s20_i4,bench_sort_order,mixed      DELETE,600000,7.135,84092
5,master_s20_i5,bench_memtx,INSERT,1000000,10.990,90991
5,master_s20_i5,bench_memtx,SELECT_POINT,1000000,0.405,2466270
5,master_s20_i5,bench_memtx,SELECT_RANGE,1000000,3.381,295799
5,master_s20_i5,bench_memtx,DELETE,1000000,11.207,89231
5,master_s20_i5,bench_vinyl,INSERT,400000,6.730,59437
5,master_s20_i5,bench_vinyl,SELECT_POINT,400000,5.620,71175
5,master_s20_i5,bench_vinyl,SELECT_RANGE,400000,3.159,126608
5,master_s20_i5,bench_vinyl,DELETE,400000,4.817,83030
5,master_s20_i5,bench_sort_order,plain      INSERT,600000,7.209,83233
5,master_s20_i5,bench_sort_order,plain      SELECT_RANGE,600000,2.013,298000
5,master_s20_i5,bench_sort_order,plain      SELECT_RANGE_REV,600000,2.065,290540
5,master_s20_i5,bench_sort_order,plain      DELETE,600000,6.222,96427
5,master_s20_i5,bench_sort_order,all_desc   INSERT,600000,6.576,91243
5,master_s20_i5,bench_sort_order,all_desc   SELECT_RANGE,600000,1.994,300893
5,master_s20_i5,bench_sort_order,all_desc   SELECT_RANGE_REV,600000,2.165,277113
5,master_s20_i5,bench_sort_order,all_desc   DELETE,600000,7.299,82199
5,master_s20_i5,bench_sort_order,mixed      INSERT,600000,7.445,80588
5,master_s20_i5,bench_sort_order,mixed      SELECT_RANGE,600000,2.014,297907
5,master_s20_i5,bench_sort_order,mixed      SELECT_RANGE_REV,600000,2.169,276627
5,master_s20_i5,bench_sort_order,mixed      DELETE,600000,6.631,90483
6,master_s20_i6,bench_memtx,INSERT,1000000,11.931,83817
6,master_s20_i6,bench_memtx,SELECT_POINT,1000000,0.389,2569531
