iteration,prefix,benchmark,label,ops,elapsed_s,tps
1,so-inline_s10_i1,bench_memtx,INSERT,500000,6.439,77652
1,so-inline_s10_i1,bench_memtx,SELECT_POINT,500000,0.187,2672720
1,so-inline_s10_i1,bench_memtx,SELECT_RANGE,500000,1.769,282697
1,so-inline_s10_i1,bench_memtx,UPDATE,500000,6.917,72281
1,so-inline_s10_i1,bench_memtx,REPLACE,500000,7.920,63128
1,so-inline_s10_i1,bench_memtx,DELETE,500000,5.945,84105
1,so-inline_s10_i1,bench_vinyl,INSERT,200000,3.062,65317
1,so-inline_s10_i1,bench_vinyl,SELECT_POINT,200000,3.879,51563
1,so-inline_s10_i1,bench_vinyl,SELECT_RANGE,200000,1.662,120338
1,so-inline_s10_i1,bench_vinyl,UPDATE,200000,3.285,60878
1,so-inline_s10_i1,bench_vinyl,REPLACE,200000,3.559,56190
1,so-inline_s10_i1,bench_vinyl,DELETE,200000,2.943,67966
1,so-inline_s10_i1,bench_sort_order,plain      INSERT,300000,4.136,72537
1,so-inline_s10_i1,bench_sort_order,plain      SELECT_RANGE,300000,1.144,262176
1,so-inline_s10_i1,bench_sort_order,plain      SELECT_RANGE_REV,300000,1.023,293195
1,so-inline_s10_i1,bench_sort_order,plain      UPDATE,300000,4.242,70728
1,so-inline_s10_i1,bench_sort_order,plain      REPLACE,300000,5.052,59381
1,so-inline_s10_i1,bench_sort_order,plain      DELETE,300000,3.742,80169
1,so-inline_s10_i1,bench_sort_order,all_desc   INSERT,300000,4.187,71650
1,so-inline_s10_i1,bench_sort_order,all_desc   SELECT_RANGE,300000,1.086,276337
1,so-inline_s10_i1,bench_sort_order,all_desc   SELECT_RANGE_REV,300000,1.037,289261
1,so-inline_s10_i1,bench_sort_order,all_desc   UPDATE,300000,4.489,66828
1,so-inline_s10_i1,bench_sort_order,all_desc   REPLACE,300000,4.667,64278
1,so-inline_s10_i1,bench_sort_order,all_desc   DELETE,300000,3.404,88125
1,so-inline_s10_i1,bench_sort_order,mixed      INSERT,300000,3.459,86732
1,so-inline_s10_i1,bench_sort_order,mixed      SELECT_RANGE,300000,1.069,280737
1,so-inline_s10_i1,bench_sort_order,mixed      SELECT_RANGE_REV,300000,1.024,293070
1,so-inline_s10_i1,bench_sort_order,mixed      UPDATE,300000,4.485,66890
1,so-inline_s10_i1,bench_sort_order,mixed      REPLACE,300000,5.416,55394
1,so-inline_s10_i1,bench_sort_order,mixed      DELETE,300000,3.472,86413
2,so-inline_s10_i2,bench_memtx,INSERT,500000,6.177,80941
2,so-inline_s10_i2,bench_memtx,SELECT_POINT,500000,0.221,2267299
2,so-inline_s10_i2,bench_memtx,SELECT_RANGE,500000,1.854,269713
2,so-inline_s10_i2,bench_memtx,UPDATE,500000,6.685,74794
2,so-inline_s10_i2,bench_memtx,REPLACE,500000,7.790,64187
2,so-inline_s10_i2,bench_memtx,DELETE,500000,5.870,85172
2,so-inline_s10_i2,bench_vinyl,INSERT,200000,3.252,61492
2,so-inline_s10_i2,bench_vinyl,SELECT_POINT,200000,3.427,58364
2,so-inline_s10_i2,bench_vinyl,SELECT_RANGE,200000,1.685,118696
2,so-inline_s10_i2,bench_vinyl,UPDATE,200000,3.358,59565
2,so-inline_s10_i2,bench_vinyl,REPLACE,200000,3.995,50063
2,so-inline_s10_i2,bench_vinyl,DELETE,200000,2.680,74629
2,so-inline_s10_i2,bench_sort_order,plain      INSERT,300000,3.587,83626
2,so-inline_s10_i2,bench_sort_order,plain      SELECT_RANGE,300000,1.039,288620
2,so-inline_s10_i2,bench_sort_order,plain      SELECT_RANGE_REV,300000,1.008,297761
2,so-inline_s10_i2,bench_sort_order,plain      UPDATE,300000,4.380,68496
2,so-inline_s10_i2,bench_sort_order,plain      REPLACE,300000,4.830,62105
2,so-inline_s10_i2,bench_sort_order,plain      DELETE,300000,3.594,83478
2,so-inline_s10_i2,bench_sort_order,all_desc   INSERT,300000,3.552,84471
2,so-inline_s10_i2,bench_sort_order,all_desc   SELECT_RANGE,300000,1.075,279017
2,so-inline_s10_i2,bench_sort_order,all_desc   SELECT_RANGE_REV,300000,1.026,292410
2,so-inline_s10_i2,bench_sort_order,all_desc   UPDATE,300000,4.355,68882
2,so-inline_s10_i2,bench_sort_order,all_desc   REPLACE,300000,5.070,59167
2,so-inline_s10_i2,bench_sort_order,all_desc   DELETE,300000,3.323,90283
2,so-inline_s10_i2,bench_sort_order,mixed      INSERT,300000,5.170,58032
2,so-inline_s10_i2,bench_sort_order,mixed      SELECT_RANGE,300000,1.094,274148
2,so-inline_s10_i2,bench_sort_order,mixed      SELECT_RANGE_REV,300000,1.061,282670
2,so-inline_s10_i2,bench_sort_order,mixed      UPDATE,300000,4.663,64340
2,so-inline_s10_i2,bench_sort_order,mixed      REPLACE,300000,5.020,59766
2,so-inline_s10_i2,bench_sort_order,mixed      DELETE,300000,3.594,83472
3,so-inline_s10_i3,bench_memtx,INSERT,500000,6.540,76447
3,so-inline_s10_i3,bench_memtx,SELECT_POINT,500000,0.234,2132261
3,so-inline_s10_i3,bench_memtx,SELECT_RANGE,500000,1.961,254931
3,so-inline_s10_i3,bench_memtx,UPDATE,500000,7.131,70118
3,so-inline_s10_i3,bench_memtx,REPLACE,500000,8.107,61677
3,so-inline_s10_i3,bench_memtx,DELETE,500000,6.008,83226
3,so-inline_s10_i3,bench_vinyl,INSERT,200000,2.902,68918
3,so-inline_s10_i3,bench_vinyl,SELECT_POINT,200000,3.112,64276
3,so-inline_s10_i3,bench_vinyl,SELECT_RANGE,200000,1.820,109907
3,so-inline_s10_i3,bench_vinyl,UPDATE,200000,3.498,57169
3,so-inline_s10_i3,bench_vinyl,REPLACE,200000,3.812,52460
3,so-inline_s10_i3,bench_vinyl,DELETE,200000,2.632,75987
3,so-inline_s10_i3,bench_sort_order,plain      INSERT,300000,4.262,70387
3,so-inline_s10_i3,bench_sort_order,plain      SELECT_RANGE,300000,1.125,266760
3,so-inline_s10_i3,bench_sort_order,plain      SELECT_RANGE_REV,300000,1.067,281243
3,so-inline_s10_i3,bench_sort_order,plain      UPDATE,300000,4.142,72423
3,so-inline_s10_i3,bench_sort_order,plain      REPLACE,300000,4.922,60945
3,so-inline_s10_i3,bench_sort_order,plain      DELETE,300000,3.303,90821
3,so-inline_s10_i3,bench_sort_order,all_desc   INSERT,300000,3.870,77516
3,so-inline_s10_i3,bench_sort_order,all_desc   SELECT_RANGE,300000,1.062,282378
3,so-inline_s10_i3,bench_sort_order,all_desc   SELECT_RANGE_REV,300000,1.036,289647
3,so-inline_s10_i3,bench_sort_order,all_desc   UPDATE,300000,4.908,61123
3,so-inline_s10_i3,bench_sort_order,all_desc   REPLACE,300000,5.259,57040
3,so-inline_s10_i3,bench_sort_order,all_desc   DELETE,300000,3.747,80064
3,so-inline_s10_i3,bench_sort_order,mixed      INSERT,300000,4.119,72837
3,so-inline_s10_i3,bench_sort_order,mixed      SELECT_RANGE,300000,1.123,267060
3,so-inline_s10_i3,bench_sort_order,mixed      SELECT_RANGE_REV,300000,1.057,283806
3,so-inline_s10_i3,bench_sort_order,mixed      UPDATE,300000,4.579,65522
3,so-inline_s10_i3,bench_sort_order,mixed      REPLACE,300000,5.270,56929
3,so-inline_s10_i3,bench_sort_order,mixed      DELETE,300000,3.621,82857
4,so-inline_s10_i4,bench_memtx,INSERT,500000,6.355,78681
4,so-inline_s10_i4,bench_memtx,SELECT_POINT,500000,0.233,2144638
4,so-inline_s10_i4,bench_memtx,SELECT_RANGE,500000,1.905,262435
4,so-inline_s10_i4,bench_memtx,UPDATE,500000,7.289,68599
4,so-inline_s10_i4,bench_memtx,REPLACE,500000,8.383,59642
4,so-inline_s10_i4,bench_memtx,DELETE,500000,6.123,81659
4,so-inline_s10_i4,bench_vinyl,INSERT,200000,2.967,67398
4,so-inline_s10_i4,bench_vinyl,SELECT_POINT,200000,3.656,54701
4,so-inline_s10_i4,bench_vinyl,SELECT_RANGE,200000,1.693,118144
4,so-inline_s10_i4,bench_vinyl,UPDATE,200000,3.529,56669
4,so-inline_s10_i4,bench_vinyl,REPLACE,200000,3.730,53626
4,so-inline_s10_i4,bench_vinyl,DELETE,200000,2.602,76849
4,so-inline_s10_i4,bench_sort_order,plain      INSERT,300000,3.805,78849
4,so-inline_s10_i4,bench_sort_order,plain      SELECT_RANGE,300000,1.106,271268
4,so-inline_s10_i4,bench_sort_order,plain      SELECT_RANGE_REV,300000,1.296,231474
4,so-inline_s10_i4,bench_sort_order,plain      UPDATE,300000,4.533,66182
4,so-inline_s10_i4,bench_sort_order,plain      REPLACE,300000,4.680,64105
4,so-inline_s10_i4,bench_sort_order,plain      DELETE,300000,3.719,80661
4,so-inline_s10_i4,bench_sort_order,all_desc   INSERT,300000,3.974,75499
4,so-inline_s10_i4,bench_sort_order,all_desc   SELECT_RANGE,300000,1.125,266713
4,so-inline_s10_i4,bench_sort_order,all_desc   SELECT_RANGE_REV,300000,1.345,223042
4,so-inline_s10_i4,bench_sort_order,all_desc   UPDATE,300000,4.066,73785
4,so-inline_s10_i4,bench_sort_order,all_desc   REPLACE,300000,5.367,55895
4,so-inline_s10_i4,bench_sort_order,all_desc   DELETE,300000,3.886,77192
4,so-inline_s10_i4,bench_sort_order,mixed      INSERT,300000,4.197,71486
4,so-inline_s10_i4,bench_sort_order,mixed      SELECT_RANGE,300000,1.150,260758
4,so-inline_s10_i4,bench_sort_order,mixed      SELECT_RANGE_REV,300000,1.372,218732
4,so-inline_s10_i4,bench_sort_order,mixed      UPDATE,300000,4.553,65889
4,so-inline_s10_i4,bench_sort_order,mixed      REPLACE,300000,5.210,57581
4,so-inline_s10_i4,bench_sort_order,mixed      DELETE,300000,3.658,82022
5,so-inline_s10_i5,bench_memtx,INSERT,500000,6.113,81793
5,so-inline_s10_i5,bench_memtx,SELECT_POINT,500000,0.187,2673233
5,so-inline_s10_i5,bench_memtx,SELECT_RANGE,500000,1.889,264726
5,so-inline_s10_i5,bench_memtx,UPDATE,500000,7.636,65480
5,so-inline_s10_i5,bench_memtx,REPLACE,500000,8.189,61059
5,so-inline_s10_i5,bench_memtx,DELETE,500000,6.123,81659
5,so-inline_s10_i5,bench_vinyl,INSERT,200000,2.972,67303
5,so-inline_s10_i5,bench_vinyl,SELECT_POINT,200000,3.237,61777
5,so-inline_s10_i5,bench_vinyl,SELECT_RANGE,200000,1.809,110556
5,so-inline_s10_i5,bench_vinyl,UPDATE,200000,3.675,54424
5,so-inline_s10_i5,bench_vinyl,REPLACE,200000,3.680,54353
5,so-inline_s10_i5,bench_vinyl,DELETE,200000,2.655,75319
5,so-inline_s10_i5,bench_sort_order,plain      INSERT,300000,4.006,74888
5,so-inline_s10_i5,bench_sort_order,plain      SELECT_RANGE,300000,1.066,281528
5,so-inline_s10_i5,bench_sort_order,plain      SELECT_RANGE_REV,300000,1.041,288109
5,so-inline_s10_i5,bench_sort_order,plain      UPDATE,300000,4.489,66822
5,so-inline_s10_i5,bench_sort_order,plain      REPLACE,300000,4.909,61107
5,so-inline_s10_i5,bench_sort_order,plain      DELETE,300000,3.686,81390
5,so-inline_s10_i5,bench_sort_order,all_desc   INSERT,300000,4.081,73505
5,so-inline_s10_i5,bench_sort_order,all_desc   SELECT_RANGE,300000,1.101,272578
