iteration,prefix,benchmark,label,ops,elapsed_s,tps
1,so_s5_i1,bench_memtx,INSERT,250000,2.902,86149
1,so_s5_i1,bench_memtx,SELECT_POINT,250000,0.112,2229032
1,so_s5_i1,bench_memtx,SELECT_RANGE,250000,0.882,283326
1,so_s5_i1,bench_memtx,UPDATE,250000,3.553,70361
1,so_s5_i1,bench_memtx,REPLACE,250000,3.476,71917
1,so_s5_i1,bench_memtx,DELETE,250000,3.011,83018
1,so_s5_i1,bench_vinyl,INSERT,100000,1.498,66775
1,so_s5_i1,bench_vinyl,SELECT_POINT,100000,1.694,59038
1,so_s5_i1,bench_vinyl,SELECT_RANGE,100000,0.876,114178
1,so_s5_i1,bench_vinyl,UPDATE,100000,1.621,61704
1,so_s5_i1,bench_vinyl,REPLACE,100000,1.532,65289
1,so_s5_i1,bench_vinyl,DELETE,100000,1.337,74767
1,so_s5_i1,bench_sort_order,plain      INSERT,150000,1.832,81868
1,so_s5_i1,bench_sort_order,plain      SELECT_RANGE,150000,0.549,273445
1,so_s5_i1,bench_sort_order,plain      SELECT_RANGE_REV,150000,0.533,281203
1,so_s5_i1,bench_sort_order,plain      UPDATE,150000,2.022,74170
1,so_s5_i1,bench_sort_order,plain      REPLACE,150000,2.311,64906
1,so_s5_i1,bench_sort_order,plain      DELETE,150000,1.468,102208
1,so_s5_i1,bench_sort_order,all_desc   INSERT,150000,1.578,95062
1,so_s5_i1,bench_sort_order,all_desc   SELECT_RANGE,150000,0.523,286880
1,so_s5_i1,bench_sort_order,all_desc   SELECT_RANGE_REV,150000,0.508,295198
1,so_s5_i1,bench_sort_order,all_desc   UPDATE,150000,1.696,88461
1,so_s5_i1,bench_sort_order,all_desc   REPLACE,150000,1.762,85113
1,so_s5_i1,bench_sort_order,all_desc   DELETE,150000,2.167,69223
1,so_s5_i1,bench_sort_order,mixed      INSERT,150000,1.660,90375
1,so_s5_i1,bench_sort_order,mixed      SELECT_RANGE,150000,0.525,285841
1,so_s5_i1,bench_sort_order,mixed      SELECT_RANGE_REV,150000,0.507,296112
1,so_s5_i1,bench_sort_order,mixed      UPDATE,150000,1.616,92837
1,so_s5_i1,bench_sort_order,mixed      REPLACE,150000,2.021,74203
1,so_s5_i1,bench_sort_order,mixed      DELETE,150000,1.887,79487
2,so_s5_i2,bench_memtx,INSERT,250000,2.912,85854
2,so_s5_i2,bench_memtx,SELECT_POINT,250000,0.110,2274050
2,so_s5_i2,bench_memtx,SELECT_RANGE,250000,0.844,296240
2,so_s5_i2,bench_memtx,UPDATE,250000,3.398,73580
2,so_s5_i2,bench_memtx,REPLACE,250000,3.024,82666
2,so_s5_i2,bench_memtx,DELETE,250000,2.872,87043
2,so_s5_i2,bench_vinyl,INSERT,100000,1.388,72039
2,so_s5_i2,bench_vinyl,SELECT_POINT,100000,1.727,57909
2,so_s5_i2,bench_vinyl,SELECT_RANGE,100000,0.883,113244
2,so_s5_i2,bench_vinyl,UPDATE,100000,1.522,65720
2,so_s5_i2,bench_vinyl,REPLACE,100000,1.416,70606
2,so_s5_i2,bench_vinyl,DELETE,100000,1.380,72439
2,so_s5_i2,bench_sort_order,plain      INSERT,150000,1.722,87121
2,so_s5_i2,bench_sort_order,plain      SELECT_RANGE,150000,0.543,276249
2,so_s5_i2,bench_sort_order,plain      SELECT_RANGE_REV,150000,0.529,283731
2,so_s5_i2,bench_sort_order,plain      UPDATE,150000,1.895,79151
2,so_s5_i2,bench_sort_order,plain      REPLACE,150000,1.925,77929
2,so_s5_i2,bench_sort_order,plain      DELETE,150000,1.640,91437
2,so_s5_i2,bench_sort_order,all_desc   INSERT,150000,1.853,80945
2,so_s5_i2,bench_sort_order,all_desc   SELECT_RANGE,150000,0.542,276744
2,so_s5_i2,bench_sort_order,all_desc   SELECT_RANGE_REV,150000,0.522,287500
2,so_s5_i2,bench_sort_order,all_desc   UPDATE,150000,2.183,68716
2,so_s5_i2,bench_sort_order,all_desc   REPLACE,150000,1.845,81295
2,so_s5_i2,bench_sort_order,all_desc   DELETE,150000,1.740,86210
2,so_s5_i2,bench_sort_order,mixed      INSERT,150000,2.086,71907
2,so_s5_i2,bench_sort_order,mixed      SELECT_RANGE,150000,0.576,260425
2,so_s5_i2,bench_sort_order,mixed      SELECT_RANGE_REV,150000,0.536,279893
2,so_s5_i2,bench_sort_order,mixed      UPDATE,150000,1.997,75131
2,so_s5_i2,bench_sort_order,mixed      REPLACE,150000,2.324,64548
2,so_s5_i2,bench_sort_order,mixed      DELETE,150000,1.682,89177
3,so_s5_i3,bench_memtx,INSERT,250000,2.958,84513
3,so_s5_i3,bench_memtx,SELECT_POINT,250000,0.112,2230827
3,so_s5_i3,bench_memtx,SELECT_RANGE,250000,0.883,283166
3,so_s5_i3,bench_memtx,UPDATE,250000,3.396,73626
3,so_s5_i3,bench_memtx,REPLACE,250000,3.733,66963
3,so_s5_i3,bench_memtx,DELETE,250000,2.791,89557
3,so_s5_i3,bench_vinyl,INSERT,100000,1.670,59895
3,so_s5_i3,bench_vinyl,SELECT_POINT,100000,1.726,57925
3,so_s5_i3,bench_vinyl,SELECT_RANGE,100000,0.880,113687
3,so_s5_i3,bench_vinyl,UPDATE,100000,1.676,59678
3,so_s5_i3,bench_vinyl,REPLACE,100000,1.685,59355
3,so_s5_i3,bench_vinyl,DELETE,100000,1.384,72270
3,so_s5_i3,bench_sort_order,plain      INSERT,150000,1.948,76997
3,so_s5_i3,bench_sort_order,plain      SELECT_RANGE,150000,0.525,285963
3,so_s5_i3,bench_sort_order,plain      SELECT_RANGE_REV,150000,0.532,282166
3,so_s5_i3,bench_sort_order,plain      UPDATE,150000,2.195,68339
3,so_s5_i3,bench_sort_order,plain      REPLACE,150000,2.067,72552
3,so_s5_i3,bench_sort_order,plain      DELETE,150000,1.688,88842
3,so_s5_i3,bench_sort_order,all_desc   INSERT,150000,1.873,80074
3,so_s5_i3,bench_sort_order,all_desc   SELECT_RANGE,150000,0.529,283630
3,so_s5_i3,bench_sort_order,all_desc   SELECT_RANGE_REV,150000,0.530,282835
3,so_s5_i3,bench_sort_order,all_desc   UPDATE,150000,2.214,67743
3,so_s5_i3,bench_sort_order,all_desc   REPLACE,150000,2.132,70366
3,so_s5_i3,bench_sort_order,all_desc   DELETE,150000,1.743,86035
3,so_s5_i3,bench_sort_order,mixed      INSERT,150000,1.873,80067
3,so_s5_i3,bench_sort_order,mixed      SELECT_RANGE,150000,0.586,255863
3,so_s5_i3,bench_sort_order,mixed      SELECT_RANGE_REV,150000,0.552,271587
3,so_s5_i3,bench_sort_order,mixed      UPDATE,150000,2.336,64209
